Année,Accidents
1948,
1949,25247
1950,50000
1951,70000
1952,95000
1953,118881
1954,124970
1955,140232
1956,141737
1957,143796
1958,134713
1959,137273
1960,141309
1961,159535
1962,169204
1963,176275
1964,192999
1965,210754
1966,209906
1967,215470
1967,215470
1968,220201
1969,220618
1970,228050
1971,242464
1972,259954
1973,261212
1974,251378
1975,251192
1976,253318
1977,250158
1978,238815
1979,242975
1980,241049
1981 et 1982,Aucune information n'ont été publiée pour les années 1981 et 1982 à la suite du changement intervenu dans la remise de données Police.
1983,209715
1984,199454
1985,191096
1986,184615
1987,170994
1988,175887
1989,170590
1990,162573
1991,148890
1992,143362
1993,137500
1994,132726
1995,132949
1996,125406
1997,125202
1998,124387
1999,124524
2000,121223
2001,116745
2002,105470
2003,90220
2004,85390
2005,84525
2006,80309
2007,81272
2008,74487
2009,72315
2010,67288
2011,65024
2012,60437
2013,56812
2014,58191
2015,56603
2016,57522
2017,58613
2018,55766
2019,56016
2020,45121
2021,53540
2022,52380
