Classement,Voitures,kWh,Prix,Autonomie
1,Mercedes EQS,108,135 850 €,783 km
2,Fisker Ocean,106,69 950 €,707 km
2,Fisker Ocean,106,69 950 €,707 km
4,Volkswagen ID.7,86,,700 km
4,Peugeot e-3008,98,,700 km
6,Mercedes EQS,107,166 900 €,692 km
7,Tesla Model 3,76,50 990 €,678 km
8,Tesla Model S,95,99 990 €,652 km
9,Mercedes EQE,89,80 150 €,639 km
10,Tesla Model S,95,103 990 €,634 km
11,Tesla Model S,95,128 990 €,628 km
12,BMW i7,101,151 800 €,625 km
13,Renault Scénic électrique,87,,620 km
13,Volkswagen ID.7,77,62 650 €,620 km
15,BMW iX,108,111 200 €,619 km
16,Hyundai Ioniq 6,77,52 300 €,614 km
,,,,
17,BMW i7,101,128 500 €,612 km
18,Mercedes EQS SUV,108,149 900 €,610 km
18,Mercedes EQS SUV,108,167 750 €,610 km
18,Fisker Ocean,106,57 500 €,610 km
21,Tesla Model 3,76,49 990 €,602 km
22,Lotus Eletre,100,97 890 €,600 km
22,Lotus Eletre,100,123 090 €,600 km
22,Volvo EX90,107,107 900 €,600 km
25,Mercedes EQE SUV,90,93 150 €,596 km
26,Tesla Model S,95,101 990 €,593 km
27,Volvo EX90,107,113 100 €,590 km
28,BMW i4,81,63 950 €,584 km
29,Tesla Model X,95,99 990 €,580 km
30,Volvo XC40 Recharge,78,46 990 €,573 km
31,Mercedes EQS,107,169 850 €,570 km
,,,,
31,BYD Seal,82,,570 km
33,BMW iX,108,144 250 €,563 km
34,BMW i7,101,191 700 €,560 km
35,Volkswagen ID.3,77,49 990 €,557 km
36,Mercedes EQE,89,76 250 €,556 km
37,Mercedes EQE SUV,90,100 750 €,552 km
37,Audi Q8 e-tron,106,98 800 €,552 km
39,Mercedes EQE SUV,89,95 900 €,551 km
40,Tesla Model 3,76,53 990 €,547 km
41,Hyundai Ioniq 6,77,65 400 €,545 km
42,Tesla Model 3,57,42 990 €,544 km
42,Skoda Enyaq,77,46 990 €,544 km
44,Tesla Model X,95,131 990 €,543 km
45,Kia EV9,99,73 000 €,541 km
46,Cupra Born,77,,540 km
46,Ford Mustang Mach-E,88,73 990 €,540 km
48,Volvo XC40 Recharge,78,,537 km
49,Nissan Ariya,87,,536 km
50,Nissan Ariya,87,57 900 €,533 km
50,Tesla Model Y,72,51 990 €,533 km
50,Mercedes EQE,90,,533 km
53,Audi Q8 e-tron,106,96 200 €,532 km
54,Volkswagen ID.5,77,57 550 €,531 km
54,Volkswagen ID.5,77,59 650 €,531 km
56,Rolls-Royce Spectre,102,340 000 €,530 km
57,Mercedes EQA,70,55 750 €,529 km
58,Kia EV6,77,51 990 €,528 km
59,Volkswagen ID.4,77,53 650 €,526 km
59,Volkswagen ID.4,77,51 900 €,526 km
61,Nissan Ariya,87,61 400 €,525 km
61,Peugeot e-3008,73,,525 km
61,Peugeot e-3008,73,,525 km
64,Volkswagen ID.4,77,53 500 €,524 km
64,Volkswagen ID.4,77,55 250 €,524 km
66,Skoda Enyaq,77,55 460 €,521 km
66,BYD Han,85,,521 km
68,MG 4,77,39 490 €,520 km
68,BYD Seal,82,,520 km
70,Mercedes EQE,90,125 350 €,518 km
71,Audi Q4 e-tron,77,48 700 €,517 km
71,Skoda Enyaq,77,62 500 €,517 km
73,Tesla Model Y,72,59 990 €,514 km
73,Hyundai Kona électrique (nouveau),65,44 250 €,514 km
75,Toyota bZ4X,71,55 000 €,513 km
